Docket_ID,File Name_petition,Date of Petition,Identity of Submitting Entity,Requested Action,File Name_response,Date of Response,Responding FDA Center,Response to Petition,Response_Category,Response_Days
FDA-2011-P-0022,FDA-2011-P-0022-0008_Citizen_Petition_Denial_Response_from_FDA_CDRH_to_.pdf,2011-01-07,Waxler Regulatory Consultancy LLC,"Withdraw premarket approval (PMA) for all laser-assisted in situ keratomileusis (LASIK) excimer lasers, and issue a Public Health Advisory with a voluntary recall of these LASIK devices.",FDA-2011-P-0022-0004_FDA_Interim_Response_to_Waxler_Regulatory_Consulta.pdf,2011-08-31,CDRH,other: interim response provided,interim,236.0
FDA-2011-P-0022,FDA-2011-P-0022-0009_Petition_for_Reconsideration_from_Waxler_Consultan.pdf,2014-07-22,"Morris Waxler, Ph.D.","Reconsideration and initiation of an action plan including cessation of promotion, investigation of industry regulation, epidemiological study, quality system review, and regulatory actions such as public health warnings or PMA withdrawals.",FDA-2011-P-0022-0013_Reconsideration_Denial_letter_from_the_FDA_to_Waxl.pdf,2016-10-02,Not Mentioned,denied,denied,803.0
FDA-2011-P-0022,FDA-2011-P-0022-0011_Reconsideration_Petition_Interim_Response.pdf,2014-07-22,Waxler Regulatory Consultancy LLC,"Reconsider decision to deny petition and withdraw PMA approvals for all LASIK excimer laser devices, issue public advisory with voluntary recall",FDA-2011-P-0022-0013_Reconsideration_Denial_letter_from_the_FDA_to_Waxl.pdf,2016-10-02,Not Mentioned,denied,denied,803.0
FDA-2011-P-0022,FDA-2011-P-0022-0008_Citizen_Petition_Denial_Response_from_FDA_CDRH_to_.pdf,2011-01-07,Waxler Regulatory Consultancy LLC,"Withdraw premarket approval (PMA) for all laser-assisted in situ keratomileusis (LASIK) excimer lasers, and issue a Public Health Advisory with a voluntary recall of these LASIK devices.",FDA-2011-P-0022-0013_Reconsideration_Denial_letter_from_the_FDA_to_Waxl.pdf,2016-10-02,Not Mentioned,denied,denied,2095.0
FDA-2011-P-0047,FDA-2011-P-0047-0001_InvaGen_Pharmaceuticals__Inc____Citizen_Petition_.pdf,2011-01-14,InvaGen Pharmaceuticals Inc.,Confirm that Pfizer's Antivert chewable tablets 25 mg were not discontinued for safety and efficacy reasons; Relist InvaGen's drug product as RLD in place of the discontinued Pfizer product.,FDA-2011-P-0047-0012_FDA_CDER_Interim_Response_to_InvaGen_Pharmaceutica.pdf,2011-07-20,CDER,other: interim response provided due to other priorities,interim,187.0
FDA-2011-P-0047,FDA-2011-P-0047-0001_InvaGen_Pharmaceuticals__Inc____Citizen_Petition_.pdf,2011-01-14,InvaGen Pharmaceuticals Inc.,Confirm that Pfizer's Antivert chewable tablets 25 mg were not discontinued for safety and efficacy reasons; Relist InvaGen's drug product as RLD in place of the discontinued Pfizer product.,FDA-2011-P-0047-0013_Response_Letter_from_FDA_CDER.pdf,2019-01-19,CDER,partially approved,partially approved,2927.0
FDA-2011-P-0055,FDA-2011-P-0055-0013_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,2011-01-19,Joseph M. Carik and Amber Britton (individual petitioners),Require Genzyme Corporation to allocate full doses of Fabrazyme to U.S. citizens under the November 2010 Consent Decree,FDA-2011-P-0055-0012_FDA_CDER_Interim_Response_to_C__Allen_Black__Ph_D_.pdf,2011-07-15,CDER,other: interim response provided,interim,177.0
FDA-2011-P-0059,FDA-2011-P-0059-0001_Citizen_Petition_from_Hospira_Inc_.pdf,2011-01-25,"Hospira, Inc.",Amend the Approved Drug Products with Therapeutic Equivalence Evaluations ('Orange Book') to designate Sandoz ANDA 065204 as an additional RLD for Ceftriaxone for Injection 19 and 2g in ADD-Vantage Vial,FDA-2011-P-0059-0003_Interim_Response_Letter_from_FDA_CDER_to_Hospira_I.pdf,2011-07-19,CDER,other: interim response provided due to other Agency priorities,interim,175.0
FDA-2011-P-0064,FDA-2011-P-0064-0042_FDA_CDER_to_Barbara_L__Maw__P_C____Petition_Denial.pdf,2011-01-26,"Barbara L. Maw, P.C.",Vacate and/or revoke FDA's request for voluntary recall or permit resumed marketing with specific labeling requirements,FDA-2011-P-0064-0034_Interim_Response_to_Barbara_L__Maw__P_C___Letter.pdf,2011-07-26,CDER,other: interim response,interim,181.0
FDA-2011-P-0064,FDA-2011-P-0064-0001_Barbara_L__Maw__P_C____Citizen_Petition_.pdf,2011-01-20,John and Jane Does 1-500,Vacate and/or revoke the recall and removal of all Propoxyphene-containing products,FDA-2011-P-0064-0034_Interim_Response_to_Barbara_L__Maw__P_C___Letter.pdf,2011-07-26,CDER,other: interim response,interim,187.0
FDA-2011-P-0081,FDA-2011-P-0081-0001_Armenpharm__Ltd____Citizen_Petition.pdf,2011-02-07,"Armenpharm, Ltd.","Relist ANDA 060851 for Chloramphenicol Capsules USP, 250 mg and declare that it was withdrawn from sale for reasons other than safety or effectiveness",FDA-2011-P-0081-0011_Agency_Response_to_Armenpharm_Ltd.pdf,2012-07-13,CDER,approved,approved,522.0
FDA-2011-P-0081,FDA-2011-P-0081-0001_Armenpharm__Ltd____Citizen_Petition.pdf,2011-02-07,"Armenpharm, Ltd.","Relist ANDA 060851 for Chloramphenicol Capsules USP, 250 mg and declare that it was withdrawn from sale for reasons other than safety or effectiveness",FDA-2011-P-0081-0012_Notice_of_Approval_Suspension_for_ANDA_060851.pdf,2012-07-13,CDER,denied,denied,522.0
